2025-05-26 20:28:44,456 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Configure stats pid to 3221425
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Loading settings from /home/anwer/.config/wandb/settings
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Loading settings from /12tb_dsk3/SEIR_model/src/wandb/settings
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'sweeps-SEIR', 'entity': 'danish2562022', 'root_dir': '/12tb_dsk3/SEIR_model/src', 'run_id': '113m2tq9', 'sweep_param_path': '/12tb_dsk3/SEIR_model/src/wandb/sweep-gsjncjls/config-113m2tq9.yaml', 'sweep_id': 'gsjncjls'}
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:_log_setup():529] Logging user logs to /12tb_dsk3/SEIR_model/src/wandb/run-20250526_202844-113m2tq9/logs/debug.log
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:_log_setup():530] Logging internal logs to /12tb_dsk3/SEIR_model/src/wandb/run-20250526_202844-113m2tq9/logs/debug-internal.log
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:_jupyter_setup():475] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x77c54b1065d0>
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():569] calling init triggers
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():576] wandb.init called with sweep_config: {'ah0': 1.0196750494714482, 'ah1': 4.997057024931081, 'bh0': 3.876955398738751, 'bh1': 4.333309695592638, 'c': 1.4091553310747125}
config: {}
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():619] starting backend
2025-05-26 20:28:44,457 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():623] setting up manager
2025-05-26 20:28:44,458 INFO    Thread-2188 (_run_job):3221425 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-26 20:28:44,459 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():631] backend started and connected
2025-05-26 20:28:44,463 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_config_callback():1382] config_cb None None {'ah0': 1.0196750494714482, 'ah1': 4.997057024931081, 'bh0': 3.876955398738751, 'bh1': 4.333309695592638, 'c': 1.4091553310747125}
2025-05-26 20:28:44,463 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_label_probe_notebook():1334] probe notebook
2025-05-26 20:28:44,463 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_label_probe_notebook():1344] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-05-26 20:28:44,463 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():720] updated telemetry
2025-05-26 20:28:44,466 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2025-05-26 20:28:44,883 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_on_init():2402] communicating current version
2025-05-26 20:28:44,957 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.19.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-05-26 20:28:44,957 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():804] starting run threads in backend
2025-05-26 20:28:45,674 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_console_start():2380] atexit reg
2025-05-26 20:28:45,674 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-05-26 20:28:45,674 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-05-26 20:28:45,674 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_redirect():2325] Redirects installed.
2025-05-26 20:28:45,674 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:init():847] run started, returning control to user process
2025-05-26 20:28:45,758 INFO    Thread-2188 (_run_job):3221425 [wandb_run.py:_finish():2109] finishing run danish2562022/sweeps-SEIR/113m2tq9
2025-05-26 20:28:45,759 INFO    Thread-2188 (_run_job):3221425 [jupyter.py:save_history():444] not saving jupyter history
2025-05-26 20:28:45,759 INFO    Thread-2188 (_run_job):3221425 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2025-05-26 20:28:45,759 INFO    Thread-2188 (_run_job):3221425 [wandb_init.py:_jupyter_teardown():457] cleaning up jupyter logic
